SITE_ID	VISIT_NO	MONTH	DAY	YEAR	SITE_TYPE	LAKE_SAMP	TNT	LON_DD	LAT_DD	FLD_LON_DD	FLD_LAT_DD	FLD_SRC	ST	EPA_REG	NESLAKE	NESLAKE_ID	STRATUM	PANEL	MDCATY	WGT	WGT_NLA	ADJWGT_CAT	URBAN	WSA_ECO3	WSA_ECO9	ECO_LEV_3	NUT_REG	ECO_NUTA	LAKE_ORIGIN	ECO3_X_ORIGIN	REF_CLUSTER	RT_NLA	REF_NUTR	AREA_HA	LAKEAREA	LAKEPERIM	SLD	DEPTH_X	DEPTHMAX	ELEV_PT	HUC_2	HUC_8	REACHCODE	COM_ID	STATUS_VER	STATUS_FLD	STATUS_DSK	PERM_WATER	NON_SALINE	SRFC_AREA	METER_DEEP	OPEN_WATER	AQUACULTUR	DISPOSAL	SEWAGE	EVAPORATE	PHYS_ACCES	FLAG_INFO	COMMENT_INFO	SAMPLED_PROFILE	SAMPLED_SECCHI	SAMPLED_ASSESS	SAMPLED_PHAB	INDXSAMP_PHAB	SAMPLED_CHEM	INDXSAMP_CHEM	SAMPLED_CHLA	INDXSAMP_CHLA	SAMPLED_ZOOP	INDXSAMP_ZOOP	SAMPLED_PHYT	INDXSAMP_PHYT	SAMPLED_CORE	INDXSAMP_CORE	SAMPLED_INF	INDXSAMP_INF	SAMPLED_ENTE	INDXSAMP_ENTE	SAMPLED_MICR	INDXSAMP_MICR	SAMPLED_SDHG	INDXSAMP_SDHG	VISIT_ID	FID_1
NLA06608-0006	2	8	30	2007	PROB_Lake	Target_Sampled	Target	-73.1465177	41.68314624	-73.14487	41.67644	Index_site	CT	Region_1			NLALake	Panel_1	0.057009219	17.3721618	19.57749882	CT	TRUE	EHIGH	NAP	59	XIV	CPL	MAN-MADE	EHIGH MAN-MADE	B	REF	Y	56.19974819	0.561997482	5.836994717	2.196429072	23.8	23.8	198.75	01	01100005	01100005003028	7711476	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	NO	YES	NO	YES	NO	SAMPLE LOST	NO	YES	NO	YES (Both)	NO	NO LAB DATA	NO	YES	NO	YES	NO	YES	NO	7478	10
NLA06608-0007	1	7	24	2007	PROB_Lake	Target_Sampled	Target	-92.04001797	45.58064546	-92.040556	45.581111	Index_site	WI	Region_5			NLALake	Panel_1	0.00595348	166.3520122	159.855637	WI	FALSE	PLNLOW	UMW	51	VII	VII	NATURAL	PLNLOW NATURAL	C	REF	Y	25.4747633	0.254747633	3.02298601	1.689569755	19.2	19.2	390.86	07	07050007	07050007002538	13080617	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Both)	YES	YES	YES	YES	YES	YES	YES	YES	YES	7479	12
NLA06608-0007	2	9	6	2007	PROB_Lake	Target_Sampled	Target	-92.04001797	45.58064546	-92.040556	45.580556	Index_site	WI	Region_5			NLALake	Panel_1	0.00595348	166.3520122	159.855637	WI	FALSE	PLNLOW	UMW	51	VII	VII	NATURAL	PLNLOW NATURAL	C	REF	Y	25.4747633	0.254747633	3.02298601	1.689569755	19	19	390.86	07	07050007	07050007002538	13080617	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Both)	NO	NO LAB DATA	NO	YES	NO	YES	NO	YES	NO	7480	11
NLA06608-0008	1	7	12	2007	PROB_Lake	Target_Sampled	Target	-93.59040488	41.29211104	-93.59579	41.2928	Index_site	IA	Region_7	NESLake	1901	NLALake	Panel_1	0.12642225	7.833853361	3.396573599	IA	FALSE	PLNLOW	TPL	47	VI	VI	MAN-MADE	PLNLOW MAN-MADE	C	SO-SO	N	48.7370362	0.487370362	5.71138051	2.307844831	5.5	5.5	261.56	07	07100008	07100008003644	22250049	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Top only)	YES	NOT DONE	YES	YES	YES	YES	YES	YES	YES	7481	14
NLA06608-0008	2	8	22	2007	PROB_Lake	Target_Sampled	Target	-93.59040488	41.29211104	-93.59509	41.29268	Index_site	IA	Region_7	NESLake	1901	NLALake	Panel_1	0.12642225	7.833853361	3.396573599	IA	FALSE	PLNLOW	TPL	47	VI	VI	MAN-MADE	PLNLOW MAN-MADE	C	SO-SO	N	48.7370362	0.487370362	5.71138051	2.307844831	5.5	5.5	261.56	07	07100008	07100008003644	22250049	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Top only)	NO	NOT DONE	NO	YES	NO	YES	NO	YES	NO	7482	13
NLA06608-0010	1	7	17	2007	PROB_Lake	Target_Sampled	Target	-83.50588771	42.61823014	-83.50436	42.62049	Index_site	MI	Region_5			NLALake	Panel_1	0.005801054	170.7230091	81.58117426	MI_LP	TRUE	PLNLOW	UMW	56	VII	VII	NATURAL	PLNLOW NATURAL	C	SO-SO	N	30.03733238	0.300373324	2.423467747	1.247388202	11.7	11.8	284.65	04	04090005	04090005001348	13173017	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Both)	YES	YES	YES	YES	YES	YES	YES	YES	YES	7483	17
NLA06608-0010	2	8	18	2007	PROB_Lake	Target_Sampled	Target	-83.50588771	42.61823014	-83.50444	42.62058	Index_site	MI	Region_5			NLALake	Panel_1	0.005801054	170.7230091	81.58117426	MI_LP	TRUE	PLNLOW	UMW	56	VII	VII	NATURAL	PLNLOW NATURAL	C	SO-SO	N	30.03733238	0.300373324	2.423467747	1.247388202	11	11	284.65	04	04090005	04090005001348	13173017	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Both)	NO	NO LAB DATA	NO	YES	NO	YES	NO	YES	NO	7484	16
NLA06608-0012	1	6	13	2007	PROB_Lake	Target_Sampled	Target	-96.87178731	35.99078823	-96.87734	35.99915	Index_site	OK	Region_6			NLALake	Panel_1	0.078811688	12.56632614	3.451225091	OK	FALSE	PLNLOW	SPL	27	V	V	MAN-MADE	PLNLOW MAN-MADE	C	TRASH	Y	177.6575126	1.776575126	13.50645679	2.858542891	3.4	3.5	255.6	11	11050003	11050003001705	534289	Target_Sampled		Do_Field	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Top only)	YES	NOT DONE	YES	YES	YES	YES	YES	YES	YES	7485	19
NLA06608-0012	2	9	18	2007	PROB_Lake	Target_Sampled	Target	-96.87178731	35.99078823	-96.87644	35.99935	Index_site	OK	Region_6			NLALake	Panel_1	0.078811688	12.56632614	3.451225091	OK	FALSE	PLNLOW	SPL	27	V	V	MAN-MADE	PLNLOW MAN-MADE	C	TRASH	Y	177.6575126	1.776575126	13.50645679	2.858542891	3.4	3.4	255.6	11	11050003	11050003001705	534289	Target_Sampled		Do_Field	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Top only)	NO	NOT DONE	NO	YES	NO	YES	NO	YES	NO	7486	20
NLA06608-0013	1	9	4	2007	PROB_Lake	Target_Sampled	Target	-74.56255123	39.97428032	-74.563729	39.972894	Index_site	NJ	Region_2			NLALake	Panel_1	0.01630549	60.73864422	147.9090567	NJ	TRUE	PLNLOW	CPL	84	XIV	CPL	MAN-MADE	PLNLOW MAN-MADE	D	SO-SO	N	37.14025576	0.371402558	8.284688178	3.834853608	2.3	2.3	15.44	02	02040202	02040202002449	4489294	Target_Sampled	Sampleable	Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Top only)	YES	NOT DONE	YES	YES	YES	YES	YES	YES	YES	7487	21
NLA06608-0013	2	9	14	2007	PROB_Lake	Target_Sampled	Target	-74.56255123	39.97428032	-74.564509	39.972744	Index_site	NJ	Region_2			NLALake	Panel_1	0.01630549	60.73864422	147.9090567	NJ	TRUE	PLNLOW	CPL	84	XIV	CPL	MAN-MADE	PLNLOW MAN-MADE	D	SO-SO	N	37.14025576	0.371402558	8.284688178	3.834853608	2.3	2.3	15.44	02	02040202	02040202002449	4489294	Target_Sampled	Sampleable	Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	NO	NO	NO CORE SAMPLE	NO	YES	NO	YES	NO	NO	NO	7488	22
NLA06608-0014	1	8	6	2007	PROB_Lake	Target_Sampled	Target	-100.5756807	47.83492738	-100.575	47.83361	Index_site	ND	Region_8			NLALake	Panel_1	0.002746674	360.5718727	324.9301387	ND	FALSE	PLNLOW	TPL	46	VI	VI	NATURAL	PLNLOW NATURAL	E	TRASH	N	12.80952857	0.128095286	1.383813932	1.09070221	1.7	1.7	498.4	09	09010003	09010003001800	14174711	Target_Sampled	Sampleable	Do_Field													YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Both)	YES	YES	YES	YES	YES	YES	YES	YES	YES	7489	23
NLA06608-0014	2	8	23	2007	PROB_Lake	Target_Sampled	Target	-100.5756807	47.83492738	-100.5766	47.83524	Index_site	ND	Region_8			NLALake	Panel_1	0.002746674	360.5718727	324.9301387	ND	FALSE	PLNLOW	TPL	46	VI	VI	NATURAL	PLNLOW NATURAL	E	TRASH	N	12.80952857	0.128095286	1.383813932	1.09070221	1.6	1.7	498.4	09	09010003	09010003001800	14174711	Target_Sampled	Sampleable	Do_Field													YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Both)	NO	YES (LOST SAMPLE)	NO	YES	NO	YES	NO	YES	NO	7490	24
NLA06608-0015	1	7	10	2007	PROB_Lake	Target_Sampled	Target	-107.2747938	33.0071076	-107.30074	32.90688	Index_site	NM	Region_6			NLALake	Panel_1	0.186187666	5.319221139	6.92095662	NM	TRUE	WMTNS	XER	24	III	III	MAN-MADE	WMTNS MAN-MADE	G	SO-SO	N	173.9929805	1.739929805	50.15536722	10.72621798	7	7	1275.36	13	13030101	13030101001509	3219231	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Top only)	YES	NOT DONE	YES	YES	YES	YES	YES	YES	YES	7491	25
NLA06608-0015	2	8	29	2007	PROB_Lake	Target_Sampled	Target	-107.2747938	33.0071076	-107.29958	32.90683	Index_site	NM	Region_6			NLALake	Panel_1	0.186187666	5.319221139	6.92095662	NM	TRUE	WMTNS	XER	24	III	III	MAN-MADE	WMTNS MAN-MADE	G	SO-SO	N	173.9929805	1.739929805	50.15536722	10.72621798	5.9	5.9	1275.36	13	13030101	13030101001509	3219231	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Top only)	NO	NOT DONE	NO	YES	NO	YES	NO	YES	NO	7492	26
NLA06608-0016	1	6	27	2007	PROB_Lake	Target_Sampled	Target	-100.7797567	41.03025217	-100.77021	41.0383	Index_site	NE	Region_7			NLALake	Panel_1	0.06081946	16.2838239	4.160811284	NE	TRUE	PLNLOW	SPL	44	IV	IVman	MAN-MADE	PLNLOW MAN-MADE	E	SO-SO	N	641.0233086	6.410233086	18.96803762	2.113394436	6.3	6.3	916	10	10190018	10190018001849	17432752	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Top only)	YES	NOT DONE	YES	YES	YES	YES	YES	YES	YES	7493	28
NLA06608-0016	2	7	11	2007	PROB_Lake	Target_Sampled	Target	-100.7797567	41.03025217	-100.771	41.03878	Index_site	NE	Region_7			NLALake	Panel_1	0.06081946	16.2838239	4.160811284	NE	TRUE	PLNLOW	SPL	44	IV	IVman	MAN-MADE	PLNLOW MAN-MADE	E	SO-SO	N	641.0233086	6.410233086	18.96803762	2.113394436	6.8	6.8	916	10	10190018	10190018001849	17432752	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Top only)	NO	NOT DONE	NO	YES	NO	YES	NO	YES	NO	7494	27
NLA06608-0019	1	6	11	2007	PROB_Lake	Target_Sampled	Target	-99.51185877	46.36688788	-99.5	46.366667	Index_site	ND	Region_8			NLALake	Panel_1	0.040633112	24.37355445	21.96428238	ND	FALSE	PLNLOW	NPL	42	V	V	NATURAL	PLNLOW NATURAL	E	TRASH	N	103.3135279	1.033135279	7.965656888	2.210742028	1.2	1.2	600.25	10	10130104	10130104001673	14665971	Target_Sampled	Sampleable	Do_Field													YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Both)	YES	YES	YES	YES	YES	YES	YES	YES	YES	7496	32
NLA06608-0019	2	8	7	2007	PROB_Lake	Target_Sampled	Target	-99.51185877	46.36688788	-99.50207	46.36623	Index_site	ND	Region_8			NLALake	Panel_1	0.040633112	24.37355445	21.96428238	ND	FALSE	PLNLOW	NPL	42	V	V	NATURAL	PLNLOW NATURAL	E	TRASH	N	103.3135279	1.033135279	7.965656888	2.210742028	1	1	600.25	10	10130104	10130104001673	14665971	Target_Sampled	Sampleable	Do_Field													YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Both)	NO	NO LAB DATA	NO	YES	NO	YES	NO	YES	NO	7497	31
NLA06608-0020	1	6	11	2007	PROB_Lake	Target_Sampled	Target	-87.81380832	39.40817838	-87.805	39.410833	Index_site	IL	Region_5			NLALake	Panel_1	0.029260046	33.8472937	20.33534178	IL	FALSE	PLNLOW	TPL	54	VI	VI	MAN-MADE	PLNLOW MAN-MADE	C	REF	Y	296.2001459	2.962001459	36.78983872	6.030180581	14.9	14.9	184.92	05	05120111	05120111001983	10284202	Target_Sampled	Sampleable	Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No				YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Top only)	YES	NOT DONE	YES	YES	YES	YES	YES	YES (Lost sample)	YES	7498	33
NLA06608-0020	2	7	2	2007	PROB_Lake	Target_Sampled	Target	-87.81380832	39.40817838	-87.805278	39.411111	Index_site	IL	Region_5			NLALake	Panel_1	0.029260046	33.8472937	20.33534178	IL	FALSE	PLNLOW	TPL	54	VI	VI	MAN-MADE	PLNLOW MAN-MADE	C	REF	Y	296.2001459	2.962001459	36.78983872	6.030180581	13.7	13.7	184.92	05	05120111	05120111001983	10284202	Target_Sampled	Sampleable	Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No				YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Top only)	NO	NOT DONE	NO	YES	NO	YES	NO	YES (Lost sample)	NO	7499	34
NLA06608-0021	1	7	27	2007	PROB_Lake	Target_Sampled	Target	-77.3095481	42.77191973	-77.2673	42.82747	Index_site	NY	Region_2	NESLake	3604	NLALake	Panel_1	0.12642225	7.833853361	8.418311244	NY	TRUE	EHIGH	NAP	83	VII	VII	NATURAL	EHIGH NATURAL	B	SO-SO	N	4226.925272	42.26925272	56.14938354	2.436283229	53	53	209.55	04	04140201	04140201003807	21980955	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES, PARTIAL PROFILE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO CORE SAMPLE	NO	YES	YES	YES	YES	NO	NO	7500	36
NLA06608-0021	2	8	30	2007	PROB_Lake	Target_Sampled	Target	-77.3095481	42.77191973	-77.26869	42.83111	Index_site	NY	Region_2	NESLake	3604	NLALake	Panel_1	0.12642225	7.833853361	8.418311244	NY	TRUE	EHIGH	NAP	83	VII	VII	NATURAL	EHIGH NATURAL	B	SO-SO	N	4226.925272	42.26925272	56.14938354	2.436283229	46.3	46.3	209.55	04	04140201	04140201003807	21980955	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES, PARTIAL PROFILE	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Both)	YES	NO LAB DATA	YES	YES	NO	YES	NO	YES	YES	7501	35
NLA06608-0023	1	8	9	2007	PROB_Lake	Target_Sampled	Target	-97.745332	31.14849172	-97.744444	31.1489	Index_site	TX	Region_6			NLALake	Panel_1	0.001312891	754.345388	210.5049403	TX	TRUE	PLNLOW	SPL	29	IX	IX	MAN-MADE	PLNLOW MAN-MADE	D	REF	N	6.20722172	0.062072217	0.974665509	1.103575465	3	3	265.85	12	12070202	12070202000251	2580363	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes					Yes			YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Top only)	YES	NOT DONE	YES	YES	YES	YES	YES	YES	YES	7502	39
NLA06608-0023	2	9	19	2007	PROB_Lake	Target_Sampled	Target	-97.745332	31.14849172	-97.74422	31.14894	Index_site	TX	Region_6			NLALake	Panel_1	0.001312891	754.345388	210.5049403	TX	TRUE	PLNLOW	SPL	29	IX	IX	MAN-MADE	PLNLOW MAN-MADE	D	REF	N	6.20722172	0.062072217	0.974665509	1.103575465	2.8	2.8	265.85	12	12070202	12070202000251	2580363	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes					Yes			YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Top only)	NO	NOT DONE	NO	YES	NO	YES	NO	YES	NO	7503	38
NLA06608-0024	1	7	11	2007	PROB_Lake	Target_Sampled	Target	-95.48843409	32.1220497	-95.43114	32.07322	Index_site	TX	Region_6	NESLake	4824	NLALake	Panel_1	0.12642225	7.833853361	2.186087249	TX	TRUE	PLNLOW	CPL	35	IX	IX	MAN-MADE	PLNLOW MAN-MADE	C	SO-SO	N	9530.145112	95.30145112	239.2872937	6.914566362	12.9	12.9	105.13	12	12020001	12020001001622	4451216	Target_Sampled			Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing			YES	YES	YES	NOT DONE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Top only)	YES	NOT DONE	YES	YES	YES	YES	YES	YES	YES	7504	41
