"site_id"	"resampled"	"type"	"stratified"	"deltaT"	"epithick"	"thermodepth"	"anoxiaV"	"hypoxiaV"	"schmidth_stability"	"month"	"year"	"lat"	"lon"	"X"	"Y"	"elevation"	"ECO9"	"lake_origin"	"area"	"volume"	"WALA_ratio"	"depth"	"SDI"	"forest"	"agric"	"precip"	"avgtemp"	"mintemp"	"maxtemp"	"chla"	"color"	"TN"	"TP"	"DOC"	"cond"	"turb"	"nutrient_color"
"NLA06608-0013-2007-1"	"NLA06608-0013"	"1"	"6"	0	0.806353722143193	0	1.65	0	0	0.489637516393371	"9"	"2007"	39.97428032	-74.56255123	4977185.56600772	1542116.95242093	"15.44"	"CPL"	"man-made"	0.371402558	222841.5348	252.47334801609	1.8	3.83485360646043	46.3	10.9	109.482466666667	19.3137037037037	13.2311111111111	25.4288888888889	16.027	19	384	28	4.79	47.52	4.21	"blue"
"NLA06608-0013-2012-1"	"NLA06608-0013"	"1"	"6"	0	1.0294690860215	0	2.39871462853494	0	17146.6137418037	1.96554043519097	"7"	"2012"	39.97091954	-74.5712097	4976336.91076439	1541743.79121793	"15.44"	"CPL"	"man-made"	0.3714026102	383782.697206667	212.046132271267	3.1	3.83485091793523	39.42289	2.909548	79.1396266666667	15.2318518518519	9.33111111111111	21.1385185185185	21.64	55	399	39	6.22	66.2	4.23	"murky"
"NLA06608-0014-2007-1"	"NLA06608-0014"	"0"	"5"	0	0	1.7	NA	0	0	-0.124009622437534	"8"	"2007"	47.83492738	-100.5756807	2403630.72205958	2415517.07364597	"498.4"	"TPL"	"natural"	0.128095286	72587.3287333333	55.1669413345937	1.7	1.09070220931282	0	50.4	69.7551733333333	12.9225925925926	6.10962962962963	19.7325925925926	8.748	29	4147	175	41.27	8722	7.1	"murky"
"NLA06608-0015-2007-1"	"NLA06608-0015"	"0"	"3"	1	1.71717174688343	0	0.5	0	0	3.09087095102866	"7"	"2007"	33.0071076	-107.2747938	1735497.82826285	768979.999052859	"1275.36"	"XER"	"man-made"	1.739929805	3769847.91083333	39405.6020955397	6.5	10.7262179838884	29.8	2.3	31.0642	13.3933333333333	4.71185185185185	22.0303703703704	20	5	470	109	3.78	743.6	32.7	"green"
"NLA06608-0016-2007-1"	"NLA06608-0016"	"1"	"5"	0	0	6.2	NA	0	0	-0.243079074803417	"6"	"2007"	41.03025217	-100.7797567	2383299.35000662	1659376.61271194	"916"	"SPL"	"man-made"	6.410233086	13247815.0444	6.59686529532851	6.2	2.11339443546966	0.1	14.1	75.946	9.29888888888889	2.66925925925926	15.9396296296296	13	5	490	6	4.69	1060	16.5	"blue"
"NLA06608-0016-2012-1"	"NLA06608-0016"	"1"	"5"	0	0	5.5	NA	0	0	0.16020875133989	"7"	"2012"	41.03740677	-100.7757749	2383696.0573786	1660171.16368006	"916"	"SPL"	"man-made"	6.410234072	11752095.7986667	4.28319771011343	5.5	2.11339327350632	0.173731	3.39922	43.28668	16.1018518518519	8.05925925925926	24.1218518518519	12.01333333	10	723	59	4.82	715	6.78	"green"
"NLA06608-0019-2007-1"	"NLA06608-0019"	"1"	"5"	0	0	0.5	NA	0	0	-1.768650174413e-14	"6"	"2007"	46.36688788	-99.51185877	2509590.21197842	2252311.00367848	"600.25"	"NPL"	"natural"	1.033135279	172189.213166667	88.7585914777381	0.5	2.21074202878552	0.1	28.9	51.8126133333333	1.31703703703704	-4.88333333333333	7.53518518518518	4.032	57	7047	801	44.99	3327	45.5	"murky"
"NLA06608-0019-2012-1"	"NLA06608-0019"	"1"	"5"	0	0	1.5	NA	0	0	-1.20268080665138e-13	"6"	"2012"	46.36670421	-99.50350622	2510421.97669623	2252290.58719994	"600.25"	"NPL"	"natural"	1.033136406	516568.203	115.805038168156	1.5	2.21073296766479	0.079738	26.632364	34.95548	5.72444444444444	-1.10074074074074	12.5677777777778	446.4	54	6788	603	20.52	1606	97.74	"murky"
"NLA06608-0020-2007-1"	"NLA06608-0020"	"1"	"1"	1	15.2066134959951	2.6363695715076	4.71144694900874	322394.71662585	3672277.31906633	120.12313365451	"6"	"2007"	39.40817838	-87.81380832	3671376.16529773	1479263.38621006	"184.92"	"TPL"	"man-made"	2.962001459	13822673.4753333	18.1478865672632	14	6.03018058235627	24.9	64.5	74.5625466666667	8.41703703703704	2.73703703703704	14.0855555555556	20.24	17	605	30	5.03	214.1	4.55	"blue"
"NLA06608-0020-2012-1"	"NLA06608-0020"	"1"	"1"	1	13.4913955896744	5.50748402668193	7.09632108213849	0	3856765.43489583	105.583720465135	"9"	"2012"	39.41011547	-87.80523888	3672224.57826612	1479478.44833505	"184.92"	"TPL"	"man-made"	2.961995854	15797311.2213333	18.1492156875967	16	6.03018725488765	24.901642	64.618037	65.9908933333333	21.9059259259259	14.8759259259259	28.9307407407407	12.37333333	20	603	28	4.94	216	3.37	"blue"
"NLA06608-0021-2007-1"	"NLA06608-0021"	"0"	"1"	1	14.174838697826	8.61515251380834	10.2254025717432	0	0	352.627427970717	"7"	"2007"	42.77191973	-77.3095481	4707609.26588703	1852826.0203706	"209.55"	"NAP"	"natural"	42.26925272	366333523.573333	5.7172567563669	26	2.43628322860069	26.3	39.1	91.06408	10.75	4.39296296296296	17.0855555555556	2.292	4	390	7	2.92	366.8	0.574	"blue"
"NLA06608-0023-2007-1"	"NLA06608-0023"	"1"	"5"	0	0	2.5	NA	0	0	0.101302728568196	"8"	"2007"	31.14849172	-97.745332	2685442.74560304	562881.401508083	"265.85"	"SPL"	"man-made"	0.062072217	51726.8475	11.9804810097245	2.5	1.1035754665216	4.7	0	114.100186666667	22.0840740740741	16.0233333333333	28.1185185185185	2.776	7	349	12	3.88	175.7	3.79	"blue"
"NLA06608-0023-2012-1"	"NLA06608-0023"	"1"	"5"	0	0	2	NA	0	0	0.0109289281937129	"7"	"2012"	31.14844072	-97.74526454	2685449.45860942	562875.747035087	"265.85"	"SPL"	"man-made"	0.0620716516	41381.1010666667	60.1724104646082	2	1.10357215577611	10.650602	0	59.17184	22.4640740740741	15.507037037037	29.4107407407407	3.592	6	419	23	4.59	144.8	5.13	"blue"
"NLA06608-0024-2007-1"	"NLA06608-0024"	"1"	"2"	1	2.23067338734206	9.81772462451001	11.5806761584334	0	54159520.4699993	14.4648999111864	"7"	"2007"	32.1220497	-95.48843409	2909918.57716436	670829.957414971	"105.13"	"CPL"	"man-made"	95.30145112	393912664.629333	22.7701334711849	12.4	6.91456636298436	23.3	39	101.928506666667	19.367037037037	13.0585185185185	25.6351851851852	44.151	26	860	35	8.2	181.4	5.68	"murky"
"NLA06608-0024-2012-1"	"NLA06608-0024"	"1"	"1"	1	3.38728894363894	2.72863345837951	4.27297343453241	0	2987104.03001163	4.94856487856233	"6"	"2012"	32.18872936	-95.47435666	2911318.03536271	678224.033734286	"105.13"	"CPL"	"man-made"	95.30145377	209663198.294	22.7607208675098	6.6	6.91457047129076	23.229027	38.804279	58.1338266666667	20.2425925925926	13.3251851851852	27.1503703703704	37.28	18	590	35	6.69	228	5.56	"green"
"NLA06608-0025-2007-1"	"NLA06608-0025"	"0"	"3"	1	16.9291887694274	0	3.61886346406256	0	0	29.0878257090679	"6"	"2007"	35.20132137	-81.34573084	4310389.59323788	1012371.67245692	"245.48"	"SAP"	"man-made"	0.114812351	287030.8775	59.560403758303	7.5	1.65072122237709	83.2	5.7	70.8372133333333	13.302962962963	6.44814814814815	20.1703703703704	1.304	15	195	10	3.43	84.96	1.56	"blue"
"NLA06608-0029-2007-1"	"NLA06608-0029"	"0"	"5"	0	0	1.5	NA	0	0	0.0102829405381446	"7"	"2007"	38.75601051	-75.21503793	4913213.58968011	1406861.63273924	"1.87"	"CPL"	"man-made"	0.731003742	365501.871	25.6768770412122	1.5	3.81405988456358	20.7	62.7	82.07756	11.9751851851852	6.09592592592593	17.8555555555556	123.12	12	2106	247	4.12	141.7	25.1	"green"
"NLA06608-0031-2007-1"	"NLA06608-0031"	"1"	"6"	0	1.53795190316929	0	3.08022630553319	0	498.961641975309	5.67471366554815	"6"	"2007"	39.77645357	-81.51745185	4293461.88797262	1520151.80550397	"241.93"	"SAP"	"man-made"	0.242495358	363743.037	50.15111394421	4.5	3.0255852335574	61.2	27.5	75.72756	7.46592592592593	1.68111111111111	13.2448148148148	5.264	9	428	32	3.83	357.1	8.82	"green"
"NLA06608-0031-2012-1"	"NLA06608-0031"	"1"	"1"	1	17.1000736897051	1.60196539498829	4.62750511713435	0	24596.3730989197	19.6397555934367	"8"	"2012"	39.77597099	-81.52247236	4292966.94946751	1520098.22448484	"241.93"	"SAP"	"man-made"	0.2424931458	614315.96936	50.063688057244	7.6	3.02559816415966	61.235081	27.400103	72.1038266666667	19.4662962962963	12.6825925925926	26.2503703703704	9.066666667	22	448	21	4.92	292	2.24	"brown"
"NLA06608-0033-2007-1"	"NLA06608-0033"	"1"	"6"	0	0.418947368421051	0	0.7	0	45493.4505	0.0548559127394775	"7"	"2007"	47.31108363	-121.2990598	333532.876550289	2357275.07243958	"732.43"	"WMT"	"natural"	0.151644835	45493.4505	36.394760982133	0.9	1.28796211703532	59.3	0	66.0586266666667	10.1766666666667	4.16481481481482	16.1596296296296	8.92	61	835	67	10.11	109.5	12.2	"murky"
"NLA06608-0033-2012-1"	"NLA06608-0033"	"1"	"5"	0	0	1	NA	0	6318.5516	0.00536938661573916	"8"	"2012"	47.31085035	-121.29956	333482.831348634	2357249.13709116	"732.43"	"WMT"	"natural"	0.1516452384	50548.4128	NA	1	1.28796411216677	59.207985	0	94.24416	10.8855555555556	4.93222222222222	16.8285185185185	5.12	48	1573	180	7.34	106.5	2.52	"murky"
"NLA06608-0036-2007-1"	"NLA06608-0036"	"1"	"6"	0	0.691909539735622	0	4.25	0	247.481592592593	3.13248726475815	"7"	"2007"	37.47735404	-88.32737922	3620522.28662434	1264932.43039904	"113.39"	"TPL"	"man-made"	0.120276054	180414.081	10.1816251637254	4.5	1.45027582991548	94.4	0	80.4553466666667	13.6940740740741	7.62740740740741	19.7448148148148	5.069	7	178	8	4.07	133.5	1.57	"blue"
"NLA06608-0036-2012-1"	"NLA06608-0036"	"1"	"2"	1	0.725729519462341	1.71200816044079	4.25	0	0	1.27069196797004	"6"	"2012"	37.47735207	-88.32742822	3620517.43388405	1264932.21175542	"113.39"	"SAP"	"man-made"	0.1202754764	180413.2146	12.6459692795709	4.5	1.45028345654311	92.071006	0	56.0357866666667	11.4096296296296	5.2637037037037	17.527037037037	2.272	11	261	21	3.34	129.2	2.06	"blue"
"NLA06608-0037-2007-1"	"NLA06608-0037"	"0"	"1"	1	13.7412999655227	3.45774039523212	7.13912469972256	0	1603072.27382643	91.2818645414808	"7"	"2007"	41.69699293	-73.36398551	5094596.28305167	1733425.47134823	"211.27"	"NAP"	"natural"	2.36955581	10268075.1766667	15.7230872143923	13	2.56771073249018	69	12.1	114.87404	10.1811111111111	3.99111111111111	16.3596296296296	8.016	7	239	14	3.38	98.02	2.59	"blue"
"NLA06608-0038-2007-1"	"NLA06608-0038"	"0"	"1"	1	10.9566680726161	4.00110720696847	7.42479276794529	0	0	20.3284866577016	"7"	"2007"	44.79759122	-71.86971736	5240785.42742501	2077894.42174353	"358.73"	"NAP"	"natural"	2.206478779	8090422.18966667	11.7224364975413	11	1.51442872393424	74.3	1.8	97.4919733333333	6.22259259259259	-0.0181481481481483	12.4585185185185	4.328	10	158	4	3.27	59.7	0.549	"blue"
"NLA06608-0041-2007-1"	"NLA06608-0041"	"0"	"1"	1	8.99105551806053	18.4333931576488	18.6711102465326	0	0	440.778498952955	"6"	"2007"	38.22694093	-80.85405519	4358845.27320412	1348131.84134001	"501.84"	"SAP"	"man-made"	10.71509332	107150933.2	194.470960799808	30	8.70268539993147	89.7	3.5	84.47532	8.24592592592593	1.80925925925926	14.692962962963	0.884	4	476	1	1.24	82.91	0.601	"blue"
"NLA06608-0042-2007-1"	"NLA06608-0042"	"0"	"1"	1	4.71368931697765	3.7795375954522	4.51694556795285	0	0	20.1506468310759	"6"	"2007"	44.45823517	-107.0403753	1758900.08343762	2040183.64809363	"2626"	"WMT"	"man-made"	0.777184868	3367801.09466667	112.971367656633	13	1.38055980668615	51	0	33.96996	4.93740740740741	-2.29037037037037	12.1725925925926	2.432	8	246	17	4.76	21.54	0.712	"blue"
"NLA06608-0043-2007-1"	"NLA06608-0043"	"0"	"1"	1	19.5792220902057	1.57049527263128	4.53071100865014	8524.4033671875	315718.643229167	205.767354389915	"7"	"2007"	41.553395	-85.44424168	3905800.35052722	1717476.62203857	"273.03"	"UMW"	"natural"	0.242471918	1293183.56266667	622.350893021764	16	1.69426288614436	5.3	59.4	80.35544	16.4522222222222	9.95296296296296	22.9522222222222	5.409	16	645	9	7.22	438.1	3.74	"blue"
"NLA06608-0044-2007-1"	"NLA06608-0044"	"0"	"5"	0	0	1.2	NA	0	0	0.00959050364577801	"7"	"2007"	42.4048448	-101.7024805	2291352.74119497	1812049.6039218	"1097.9"	"SPL"	"natural"	2.198023543	879209.4172	92.0376273239945	1.2	2.35858443733122	0.1	0	81.65592	13.3611111111111	6.51259259259259	20.2207407407407	135.61	27	4108	601	16.68	274.1	121	"murky"
"NLA06608-0045-2007-1"	"NLA06608-0045"	"1"	"6"	0	0.821602787456445	0	1.5	0	0	0.677500100503414	"6"	"2007"	37.29320486	-77.88986113	4650577.99807107	1244494.6562316	"65.73"	"SAP"	"man-made"	0.288381982	192254.654666667	146.260060484639	2	2.14658736243593	53.6	33.7	76.45908	12.0214814814815	5.41185185185185	18.6051851851852	20.16	34	648	54	4.79	103.3	9.45	"murky"
"NLA06608-0045-2012-1"	"NLA06608-0045"	"1"	"5"	0	0	1.25	NA	0	0	0.000893499568537252	"7"	"2012"	37.29244811	-77.89349456	4650220.8288757	1244410.66974155	"65.73"	"SAP"	"man-made"	0.2883811387	120158.807791667	146.262738580453	1.25	2.1465989085267	54.092519	32.292066	87.5504133333333	15.9662962962963	9.35444444444444	22.57	64.672	15	875	146	5.94	121.2	4.59	"green"
"NLA06608-0048-2007-1"	"NLA06608-0048"	"0"	"2"	1	0.33285006180245	1.48343309572361	2.25	0	374.529886666666	0.126139597009682	"8"	"2007"	36.7872968	-89.17572548	3536484.70134798	1188349.78978724	"92.55"	"CPL"	"natural"	0.056179483	46816.2358333333	8.05174534981036	2.5	1.2851497421221	13.3	42.2	97.21088	18.4511111111111	12.3537037037037	24.5618518518519	54	10	773	111	4.77	223.9	16.7	"green"
"NLA06608-0049-2007-1"	"NLA06608-0049"	"0"	"3"	1	1.37857181060214	0	0.5	0	0	0.51629963949995	"8"	"2007"	45.06232667	-117.1533553	748252.442953722	2107314.58049868	"2107.88"	"WMT"	"man-made"	0.128905475	128905.475	31.3738521579475	3	1.53722609010336	61.6	0	31.0066266666667	13.4822222222222	5.63888888888889	21.3311111111111	1.136	5	256	15	1.88	91.89	1.55	"blue"
"NLA06608-0050-2007-1"	"NLA06608-0050"	"0"	"2"	1	2.53753445274415	1.51259718137862	2.66265135250672	0	1663.06690267944	4.63580032907245	"7"	"2007"	43.44601793	-71.80868659	5246751.70860515	1927714.86588274	"196.17"	"NAP"	"natural"	0.119790709	195658.158033333	7.11900590721105	4.9	1.11862574015114	83.7	0	102.632933333333	4.9037037037037	-1.4362962962963	11.2211111111111	3.952	33	303	16	5.14	25.53	1.78	"brown"
"NLA06608-0053-2007-1"	"NLA06608-0053"	"0"	"5"	0	0	5	NA	0	0	-0.0706186074261855	"8"	"2007"	43.55819295	-73.43960723	5087192.34640468	1940177.79385159	"28.85"	"NAP"	"natural"	4.709098	7848496.66666667	671.282075675639	5	3.04906418201001	59.5	17.7	87.6181466666667	14.5455555555556	8.14592592592593	20.9233333333333	6.256	6	246	29	2.88	196	8.12	"blue"
"NLA06608-0057-2007-1"	"NLA06608-0057"	"0"	"2"	1	0.23986715891138	2.52044739178241	3.15	0	0	0.141504700919463	"6"	"2007"	34.96189211	-80.51686138	4392065.94501125	985808.894694282	"149.57"	"SAP"	"man-made"	0.530283936	583312.3296	254.542797804081	3.3	3.75334986646627	38.3	47.6	70.7762533333333	13.0814814814815	6.23259259259259	19.942962962963	125.396	30	1756	218	9.7	158.3	15.4	"murky"
"NLA06608-0061-2007-1"	"NLA06608-0061"	"0"	"1"	1	11.2732242791746	4.39989493560117	7.29207662181572	0	3170370.464476	110.758893563106	"6"	"2007"	34.24558153	-113.5793644	1105631.4005351	906346.167657256	"335"	"XER"	"man-made"	5.723287327	29188765.3677	1992.91150143579	15.3	2.82209837799703	12.7	0.1	12.4578533333333	13.8003703703704	5.59296296296296	22.0233333333333	3.58	10	495	20	6.08	775.8	3.02	"blue"
"NLA06608-0062-2007-1"	"NLA06608-0062"	"0"	"5"	0	0	2.5	NA	0	0	0.140560561111466	"8"	"2007"	47.32067994	-99.74629427	2486243.52255342	2358341.96140493	"562.29"	"NPL"	"natural"	0.542985616	452488.013333333	15.0144130134747	2.5	1.12740600540606	0.1	20.6	69.9685333333333	13.2937037037037	6.45407407407407	20.1292592592593	2.184	18	2834	152	28.53	3835	12.3	"green"
"NLA06608-0064-2007-1"	"NLA06608-0064"	"1"	"5"	0	0	2	NA	0	0	0.0111873420669382	"6"	"2007"	48.8940613	-112.1680165	1246704.27529583	2533290.01687202	"1208"	"NPL"	"natural"	0.252077914	168051.942666667	58.500540987498	2	1.15814327033452	0	72	50.95748	4.51185185185185	-2.00518518518519	11.0118518518519	19.04	24	3366	2047	33.65	2504	13.6	"murky"
"NLA06608-0064-2012-1"	"NLA06608-0064"	"1"	"1"	1	5.18484410108689	1.26446282674431	2.23157221249758	0	656.45653828125	1.8688129832837	"7"	"2012"	48.89407384	-112.1682796	1246677.98015236	2533291.41141639	"1208"	"NPL"	"natural"	0.2520793107	336105.7476	56.4036941852843	4	1.15814337457229	0	72.42056	46.5090933333333	8.54407407407407	1.31703703703704	15.7659259259259	8.56	32	2068	1344	21.29	1679	4.63	"murky"
"NLA06608-0065-2007-1"	"NLA06608-0065"	"1"	"1"	1	10.9753196331442	6.07244723537408	9.27106761950802	4435.62834137515	50524.5790759762	141.448504896111	"7"	"2007"	48.96243381	-115.116608	951937.392997596	2540893.61072885	"766.43"	"WMT"	"natural"	0.895225888	4953583.24693333	36.7453147199425	16.6	2.19603051631502	24.3	0.3	52.0429066666667	9.47074074074074	2.37074074074074	16.5492592592593	0.544	0	70	1	1.32	197.1	0.253	"blue"
"NLA06608-0065-2012-1"	"NLA06608-0065"	"1"	"1"	1	7.77218500144131	5.02097896843735	6.97744040754204	0	161140.406346	83.3567351674838	"9"	"2012"	48.96435342	-115.1157742	952020.76606421	2541107.08869244	"766.43"	"WMT"	"natural"	0.8952244797	5968163.198	138.58030434954	20	2.19603293622291	21.26664	0.060213	38.35908	15.3959259259259	7.15	23.622962962963	1.014	12	83	20	0.99	216	0.27	"blue"
"NLA06608-0066-2007-1"	"NLA06608-0066"	"0"	"1"	1	13.6274350425654	5.09725970688288	9.21618437938957	0	0	207.186695036178	"6"	"2007"	39.76851425	-79.38081778	4503926.00963986	1519270.30071164	"439.26"	"SAP"	"man-made"	10.94588775	74796899.625	101.913073610681	20.5	5.10953213359837	68.7	18.7	82.9242266666667	5.57888888888889	-0.441851851851852	11.6162962962963	1.749	0	665	7	1.63	114.6	1.92	"blue"
"NLA06608-0068-2007-1"	"NLA06608-0068"	"1"	"1"	1	6.32855926683831	1.59949464089404	2.5808141175087	0	0	53.918953097016	"7"	"2007"	37.82447614	-107.8853911	1674534.53241629	1303459.4714005	"2959.6"	"WMT"	"man-made"	0.500989694	2972538.85106667	70.4075412377645	17.8	1.28685390855484	51.5	0	39.33952	9.0762962962963	1.39037037037037	16.772962962963	0.953	0	168	1	1.12	190.4	0.887	"blue"
"NLA06608-0068-2012-1"	"NLA06608-0068"	"1"	"1"	1	6.51019929092225	8.77385868201342	NA	0	0	32.9839399029598	"8"	"2012"	37.8246388	-107.885134	1674560.20381415	1303477.5255478	"2959.6"	"WMT"	"man-made"	0.5009886464	2655239.82592	70.3309527310521	15.9	1.28684581757026	51.358876	0	30.8576133333333	16.6818518518519	8.06851851851852	25.3059259259259	1.224	8	104	16	0.73	215	0.36	"blue"
"NLA06608-0069-2007-1"	"NLA06608-0069"	"1"	"6"	0	0.370578609000578	0	2.45	0	0	0.596571142553161	"7"	"2007"	28.63735951	-81.13759704	4330903.82365404	284520.560761844	"11.26"	"CPL"	"natural"	0.244704468	236547.6524	15.8252797288524	2.9	1.36801142014667	36.8	2.8	82.6024933333333	22.5681481481482	16.1866666666667	28.9544444444444	7.408	77	420	39	13.24	145.9	2.74	"murky"
