"","siteid_07","sampling_event","visit_no","day","month","year","lat","lon","state","EPA_reg","ECO9","HUC2","HUC8","lake_origin","area_km2","perim_km","elevation_m","depthmax_m","SLD","WGT","secchi_m","clear_to_bottom","basinarea_km2","pct_forest","pct_agric","chla_ugL","color_PCU","NTL_ugL","PTL_ugL","NA_mgL","DOC_mgL","cond_uScm","turb_NTU","nutrient_color","siteid_12","UID","WALA_ratio","site_id","sampled_depthmax_m","resampled","Julian.day","precip_5","avgtemp_5","mintemp_5","maxtemp_5","precip_4","avgtemp_4","mintemp_4","maxtemp_4","precip_3","avgtemp_3","mintemp_3","maxtemp_3","precip_2","avgtemp_2","mintemp_2","maxtemp_2","precip_1","avgtemp_1","mintemp_1","maxtemp_1","RelO212","VolT12","SedArea","VoltoSedArea","HypoThick"
"237","NLA06608-0142","NLA06608-0142-2007-1",1,13,8,2007,45.99791162,-89.54369029,"WI","region_5","UMW",7,7070001,"natural",1.308236981,8.157706901,497.98,16.8,2.01196283739035,64.99603437,4.7,0,68.55855434,54.5,0.1,1.364,9,293,7,1.767,3.84,101.8,0.622,"blue","NLA12_WI-104",NA,52.4053022011308,"NLA06608-0142",16,1,225,78.6976666666667,14.3918518518519,7.78407407407407,20.9992592592593,83.2273333333333,17.0592592592593,10.3064814814815,23.8046296296296,89.3797777777778,19.2364197530864,12.4641975308642,25.9895061728395,98.6028,20.3157407407407,13.6740740740741,26.9287037037037,120.429866666667,20.5685185185185,14.1518518518519,26.9537037037037,95.7510975843059,10.9,145398.929160641,1.66621658764027,5
"243","NLA06608-0150","NLA06608-0150-2007-1",1,2,8,2007,44.84955975,-69.2311707,"ME","region_1","NAP",1,1030003,"natural",18.87921908,46.6742518,60.78,18,3.03026367453289,5.785867077,1.97,0,481.0805497,62.2,11.6,8.224,12,366,16,3.269,4.27,103.7,3.05,"blue","NLA12_ME-109",NA,25.4820153133156,"NLA06608-0150",16.5,1,214,103.527013333333,9.37259259259259,3.22185185185185,15.5103703703704,101.138566666667,12.3694444444444,6.13287037037037,18.5796296296296,83.6901777777778,15.216049382716,8.73148148148148,21.6814814814815,85.0857666666667,17.2157407407407,10.9166666666667,23.4861111111111,91.4061333333333,18.0703703703704,11.9777777777778,24.1111111111111,99.2315712972513,11.4,73748.5203108483,0.333326233622082,1
"248","NLA06608-0155","NLA06608-0155-2007-1",1,31,7,2007,42.37328848,-88.12714851,"IL","region_5","TPL",7,7120006,"natural",1.548023875,8.802219799,223.92,8.1,1.99571467043827,4.706553114,0.87,0,99.24636623,13.5,29.8,79.8,33,1520,114,81.9,11.98,937.5,10.3,"murky","NLA12_IL-106",NA,64.1116508813535,"NLA06608-0155",8,1,212,83.21548,17.032962962963,10.7807407407407,23.2622222222222,83.5046166666667,19.0486111111111,12.7,25.3685185185185,82.2593111111111,21.812962962963,15.4654320987654,28.1234567901235,94.1408666666667,22.7833333333333,16.5611111111111,28.9768518518519,84.074,22.9444444444444,16.7222222222222,29.1111111111111,98.4329060177891,17.6,6880.49879898631,0.166657154568618,0.5
"270","NLA06608-0177","NLA06608-0177-2007-1",1,22,8,2007,43.89203643,-73.05232335,"VT","region_1","NAP",2,2010002,"man-made",0.411261949,3.479406297,384.73,19,1.53052683454722,86.19350435,2.75,0,1.747456371,75.6,0,3.576,19,177,6,0.635,3.59,56.16,1.28,"blue","NLA12_VT-104",NA,4.24901057646838,"NLA06608-0177",18,1,234,105.677546666667,12.8848148148148,6.53074074074074,19.227037037037,101.324833333333,15.5337962962963,8.91898148148148,22.1226851851852,105.838977777778,17.308024691358,10.8104938271605,23.7820987654321,115.895966666667,18.0009259259259,11.6787037037037,24.2944444444444,98.0270666666667,18.1111111111111,11.6222222222222,24.5851851851852,41.4482382444059,6.77444962822569,121338.059993879,3.16296907784769,9.5
"311","NLA06608-0219","NLA06608-0219-2007-1",1,1,8,2007,41.40043649,-85.37102925,"IN","region_5","UMW",4,4050001,"natural",0.470075084,3.535507751,284.71,9.8,1.45466585718875,10.83110054,0.35,0,36.16669031,13,76.8,55.584,31,1826,36,8.209,10.91,383.9,22.1,"murky","NLA12_IN-103",NA,76.938113805666,"NLA06608-0219",9.3,1,213,80.5264666666667,16.5625925925926,10.0603703703704,23.0662962962963,77.7917333333333,18.5865740740741,11.9740740740741,25.212037037037,70.6176444444444,21.2487654320988,14.5043209876543,27.991975308642,82.4060666666667,22.2638888888889,15.712037037037,28.787962962963,81.6864,22.2574074074074,15.7574074074074,28.7055555555556,95.9975204409743,12.8472,40673.7508942899,0.83313221483967,2.5
"337","NLA06608-0235","NLA06608-0235-2007-1",1,16,7,2007,41.3229061,-85.75477789,"IN","region_5","UMW",5,5120106,"natural",3.231371464,13.88576227,250.67,33,2.17907084943948,2.451426407,1.65,0,296.9051508,15.1,64.5,7.8,11,626,8,9.044,7.8,443.2,3.22,"blue","NLA12_IN-110",NA,91.8820860144849,"NLA06608-0235",30,1,197,79.03972,13.8777777777778,7.52962962962963,20.2311111111111,79.14005,16.7527777777778,10.1981481481481,23.3222222222222,72.6214222222222,19.3074074074074,12.5969135802469,26.0351851851852,73.4991333333333,21.4833333333333,14.7722222222222,28.1925925925926,81.8218666666667,22.2185185185185,15.6666666666667,28.7407407407407,91.6997225985379,8.00254060807997,1540026.66935761,8.16166821305,24.5
"379","NLA06608-0286","NLA06608-0286-2007-1",1,8,8,2007,46.15225085,-88.82970363,"MI","region_5","UMW",4,4030106,"natural",0.556243386,4.03421,497.39,17.8,1.52588266624488,34.38911844,5.42,0,5.799764317,73.6,0,2.224,6,413,5,0.613,4.46,22.17,0.762,"blue","NLA12_MI-118",NA,10.4266665689397,"NLA06608-0286",16,1,220,65.7064133333333,13.3822222222222,6.69777777777778,20.037037037037,65.15735,16.0148148148148,9.10833333333333,22.8981481481481,63.4238,18.5506172839506,11.4777777777778,25.5987654320988,64.4271,19.8842592592593,12.9333333333333,26.787037037037,65.8368,20.1185185185185,13.3777777777778,26.8185185185185,94.7224786792893,8.56093294460641,94388.099969905,2.33143138642743,7
"387","NLA06608-0295","NLA06608-0295-2007-1",1,26,6,2007,45.18747233,-97.63176411,"SD","region_8","TPL",10,10160010,"natural",0.184312026,1.593378972,532.26,4.6,1.04697741397351,80.67893749,0.67,0,29.17196164,0.1,38,5.733,15,2026,242,51.69,17.18,1240,10.5,"green","NLA12_SD-104",NA,158.274868293185,"NLA06608-0295",4.2,1,177,64.75984,6.93481481481481,0.459259259259259,13.4118518518519,75.8359333333333,10.9111111111111,4.13425925925926,17.687962962963,83.7748444444444,13.3382716049383,6.49135802469136,20.1851851851852,97.6968666666667,17.0546296296296,10.0675925925926,24.0416666666667,86.2245333333333,19.5037037037037,12.5851851851852,26.4222222222222,21.8220072440719,16.7478933441889,16399.1759425899,0.566509824350721,1.7
"425","NLA06608-0350","NLA06608-0350-2007-1",1,9,8,2007,45.7646886,-90.6606696,"WI","region_5","UMW",7,7050003,"natural",0.352866979,2.249208681,442.81,7.6,1.06811818559609,159.855637,1.15,0,28.42734277,35.9,0.1,17.44,46,902,18,1.983,14.52,85.38,5.39,"brown","NLA12_WI-106",NA,80.5610738940806,"NLA06608-0350",7,1,221,75.5480666666667,13.8911111111111,7.28777777777778,20.4940740740741,79.4512,16.5851851851852,9.8212962962963,23.3435185185185,84.5029777777778,19.0067901234568,12.1827160493827,25.8117283950617,91.9141333333333,20.2601851851852,13.5518518518519,26.9398148148148,107.2896,20.65,14.1222222222222,27.1388888888889,97.587086859615,12.5,4884.97723388637,0.266611793332547,0.8
"436","NLA06608-0363","NLA06608-0363-2007-1",1,21,7,2007,41.93460679,-85.33088977,"MI","region_5","UMW",4,4050001,"man-made",2.945937826,21.87920273,258.64,13,3.59595933616371,3.743461174,1.7,0,375.431381,8.5,64.7,11.68,5,567,18,6.842,5.3,475,1.93,"blue","NLA12_MI-112",NA,127.440361329608,"NLA06608-0363",13,1,202,62.4975466666667,10.637037037037,4.12,17.1240740740741,64.4800166666667,13.5425925925926,6.75555555555556,20.3027777777778,61.6796666666667,16.5876543209877,9.5,23.658024691358,60.8457,18.9,11.75,26.0111111111111,56.6166,19.85,12.8444444444444,26.8,96.8530549625068,12.2277459846303,360068.638349694,1.43321772179587,4.3
"461","NLA06608-0401","NLA06608-0401-2007-1",1,27,8,2007,47.17784258,-68.23140034,"ME","region_1","NAP",1,1010003,"natural",26.77177683,53.32502151,177.26,50,2.90728434188813,5.785867077,1.87,0,224.0750265,49.2,21.7,16.16,5,279,10,2.478,4.39,87.11,5.17,"blue","NLA12_ME-108",NA,8.36982273992757,"NLA06608-0401",46.5,1,239,103.527013333333,12.8633333333333,6.59222222222222,19.1122222222222,88.7560666666667,15.4365740740741,8.92222222222222,21.9361111111111,90.3224,17.1141975308642,10.7067901234568,23.5024691358025,96.6216,17.7712962962963,11.4490740740741,24.0648148148148,103.6828,17.5611111111111,11.0055555555556,24.1111111111111,49.0369996500495,10.5801020408163,5830605.93315159,4.66642025709553,14
"481","NLA06608-0433","NLA06608-0433-2007-1",1,9,8,2007,44.52251138,-73.29262702,"VT","region_1","NAP",2,2010000,"natural",1073.599005,962.1652079,28.84,97,8.28368672966889,8.846608367,5.05,0,18844.17595,61,14.2,1.68,15,422,7,9.105,2.77,171,0.712,"blue","NLA12_VT-103",NA,17.55234110896,"NLA06608-0433",97,1,221,106.646133333333,11.0166666666667,4.69148148148148,17.33,106.855683333333,13.975,7.53472222222222,20.3953703703704,105.398711111111,16.4012345679012,9.79135802469136,22.9796296296296,117.712066666667,17.7962962962963,11.4740740740741,24.0898148148148,127.3048,18.1111111111111,11.9111111111111,24.2722222222222,19.7952583668757,8.4542496,317108438.326997,8.3333075338994,25
"489","NLA06608-0445","NLA06608-0445-2007-1",1,28,6,2007,40.04075657,-81.01548859,"OH","region_5","SAP",5,5030106,"man-made",0.430430732,6.510790055,322.66,8.4,2.79947841719654,28.82219287,1.47,0,12.38177893,41.3,36.2,6.848,6,336,15,17.31,3.54,385.2,3.55,"blue","NLA12_OH-103",NA,28.7660197320669,"NLA06608-0445",8,1,179,71.30796,9.55481481481481,3.44777777777778,15.6503703703704,75.07605,13.5675925925926,7.07361111111111,20.0342592592593,65.6420666666667,15.8864197530864,9.1537037037037,22.6012345679012,54.7539333333333,19.3157407407407,11.9981481481482,26.6074074074074,68.3090666666667,21.1962962962963,14.1037037037037,28.237037037037,100,9.2,1489.77234282634,0.166622739672664,0.5
"504","NLA06608-0467","NLA06608-0467-2007-1",1,9,7,2007,43.54592149,-89.36445641,"WI","region_5","TPL",4,4030201,"natural",1.835188922,10.43716624,237.25,24.5,2.17338807250205,7.527925891,1.1,0,168.9472021,17.1,61.3,12.72,21,788,15,6.43,6.22,396.5,3.53,"brown","NLA12_WI-107",NA,92.0598419457983,"NLA06608-0467",24,1,190,61.7965066666667,8.30925925925926,1.96814814814815,14.6581481481482,67.4497,12.0398148148148,5.42592592592593,18.6634259259259,70.0080444444444,15.0654320987654,8.22839506172839,21.9092592592593,72.9234,18.0888888888889,11.1111111111111,25.0583333333333,76.4794,19.8222222222222,12.9277777777778,26.7,97.6456135695878,7.60643400184438,485423.707118465,4.23112443639266,12.7
"542","NLA06608-0514","NLA06608-0514-2007-1",1,24,7,2007,40.35740927,-78.11907346,"PA","region_3","SAP",2,2050303,"man-made",33.47380555,191.6380496,239.41,28,9.34381574217689,8.935850053,3.05,0,2481.347332,68.2,22.9,3.856,4,1009,7,7.351,2.36,219.9,1.01,"blue","NLA12_PA-101",NA,74.1280320904535,"NLA06608-0514",28,1,205,87.3641466666667,12.3411111111111,5.64703703703704,19.0362962962963,85.2402833333333,14.9967592592593,8.15138888888889,21.8537037037037,77.5857111111111,17.8537037037037,10.6061728395062,25.1043209876543,86.5124,19.6833333333333,12.65,26.7166666666667,87.884,20.3333333333333,13.5777777777778,27.0888888888889,44.144765805331,5.3,170791.00526361,0.6666421412934,2
"567","NLA06608-0551","NLA06608-0551-2007-1",1,20,8,2007,45.10823473,-94.16801923,"MN","region_5","UMW",7,7010204,"natural",2.196509157,7.211493699,294.56,13.5,1.37263095063367,5.66008504,1.75,0,114.4366768,2.8,82.6,16.8,10,1361,54,12.97,6.68,509.6,4.34,"green","NLA12_MN-107",NA,52.09933973428,"NLA06608-0551",13,1,232,74.5015866666667,14.9774074074074,8.48111111111111,21.4959259259259,78.3230166666667,17.7958333333333,11.2263888888889,24.3828703703704,80.1595777777778,19.6475308641975,13.15,26.1635802469136,76.8307666666667,20.4018518518519,13.925,26.887037037037,87.7993333333333,19.9259259259259,13.5555555555556,26.2962962962963,95.006463264243,16.0805555555556,403497.002113381,1.99971972676416,6
"616","NLA06608-0614","NLA06608-0614-2007-1",1,27,6,2007,43.37864455,-123.2686178,"OR","region_10","WMT",17,17100301,"man-made",0.526616225,7.413004867,207.02,16,2.88165666452882,3.999258837,4.97,0,11.73367283,65.5,0,1.216,5,259,8,18.49,2.82,219.4,0.825,"blue","NLA12_OR-110",NA,22.2812596212735,"NLA06608-0614",15.5,1,178,56.16956,8.26074074074074,1.55888888888889,14.9637037037037,42.60215,9.78842592592593,2.55694444444444,17.0212962962963,37.3521111111111,10.9648148148148,3.41358024691358,18.5179012345679,27.8341666666667,12.9416666666667,4.96296296296296,20.8972222222222,29.3878,14.4722222222222,6.37777777777778,22.5166666666667,79.3856759904315,8.12126200274348,166751.850902837,2.99771182219431,9
"634","NLA06608-0635","NLA06608-0635-2007-1",1,22,8,2007,40.33649731,-105.1268527,"CO","region_8","SPL",10,10190006,"man-made",1.898167021,7.982005023,1562.41,6.7,1.63433037693139,5.170878971,2.03,0,13.81937163,0,39.5,5.147,6,224,18,3.736,3.33,139.7,2.63,"blue","NLA12_CO-106",NA,7.28037705697764,"NLA06608-0635",6,1,234,48.0652666666667,14.6622222222222,6.64333333333333,22.6918518518519,48.1308833333333,16.8361111111111,8.65972222222222,25.0148148148148,46.4961111111111,18.8444444444444,10.5055555555556,27.1975308641975,52.1589,20.3138888888889,12.0351851851852,28.5990740740741,58.4369333333333,20.5777777777778,12.4740740740741,28.6814814814815,91.7245948708927,20.7,20720.3473165817,0.233324665957173,0.7
"637","NLA06608-0641","NLA06608-0641-2007-1",1,25,7,2007,48.41877337,-117.6640499,"WA","region_10","WMT",17,17020003,"natural",0.270004344,2.918369245,713.93,4.8,1.58434563683439,21.49824829,1.8,0,2.342553778,76.3,0.9,25.44,16,737,49,4.273,6.27,156,3.98,"green","NLA12_WA-112",NA,8.67598551673672,"NLA06608-0641",4.3,1,206,61.24956,11.1396296296296,4.90851851851852,17.3388888888889,43.5737,12.687037037037,6.09537037037037,19.2513888888889,36.5308444444444,14.6111111111111,7.71111111111111,21.4932098765432,35.56,16.4074074074074,9.5,23.2916666666667,29.5486666666667,19.0740740740741,11.7592592592593,26.3425925925926,99.9169213918077,10.456472303207,9667.22206601874,0.466518069039993,1.4
"725","NLA06608-0765","NLA06608-0765-2007-1",1,5,6,2007,40.16155115,-79.05296653,"PA","region_3","SAP",5,5010007,"man-made",0.181703142,3.573710622,551.86,1.5,2.36501136676614,33.27488166,1.5,0,25.02461963,61.7,30.4,11.392,16,507,29,4.707,2.51,158.3,5.3,"blue","NLA12_PA-107",NA,137.722547637619,"NLA06608-0765",1.4,1,156,83.0309066666667,4.63259259259259,-1.26111111111111,10.5455555555556,81.36255,6.14722222222222,-0.118055555555556,12.4226851851852,86.0213333333333,9.65246913580247,2.94135802469136,16.3672839506173,77.343,12.5675925925926,5.58425925925926,19.5731481481481,57.15,16.3240740740741,8.37962962962963,24.2685185185185,89.4069256986971,17.6,997.062237280744,0.0666624656669039,0.2
"812","NLA06608-0870","NLA06608-0870-2007-1",1,9,8,2007,44.31668637,-122.0463775,"OR","region_10","WMT",17,17090004,"man-made",0.636914944,6.143986898,795.16,42.4,2.17172399307504,3.999258837,12.51,0,45.68537124,77.2,0,0.488,5,87,43,3.891,0.34,55.48,0.552,"green","NLA12_OR-106",NA,71.7291557850462,"NLA06608-0870",36,1,221,32.6627066666667,13.0088888888889,5.26555555555556,20.7555555555556,26.7313833333333,14.6027777777778,6.54259259259259,22.662037037037,20.7884888888889,16.5481481481481,8.19135802469136,24.891975308642,18.1440666666667,18.4518518518519,9.91666666666667,26.9768518518519,12.4968,20.0888888888889,11.3333333333333,28.8611111111111,3.21696385173505,9.53594433309038,556053.825153489,9.31268548996009,28
"837","NLA06608-0906","NLA06608-0906-2007-1",1,12,6,2007,43.64334502,-110.796597,"WY","region_8","WMT",17,17040103,"natural",1.857625724,6.066239699,2021.7,48,1.25555437767515,10.82677028,7.45,0,39.03192208,29.3,0,0.832,11,111,1,0.465,1.19,117.3,0.446,"blue","NLA12_WY-R01",NA,21.0117256537302,"NLA06608-0906",47.5,1,163,33.3264933333333,3.28925925925926,-3.77925925925926,10.3614814814815,36.7051166666667,5.80324074074074,-1.48240740740741,13.0962962962963,39.3050888888889,7.96481481481481,0.385185185185185,15.5358024691358,42.2063333333333,10.0425925925926,2.20092592592593,17.8555555555556,43.5864,12.8111111111111,4.54444444444444,21.0444444444444,12.6886855911647,8.18208987706617,1165216.35130368,12.6088940200896,37.9
"841","NLA06608-0914","NLA06608-0914-2007-1",1,2,8,2007,44.7665922,-67.69930253,"ME","region_1","NAP",1,1050002,"natural",0.834465783,7.084784952,69.91,10.7,2.18784965000712,61.84915074,5.53,0,3.294281329,69.4,0.5,1.288,14,171,10,1.636,3.57,21.48,0.455,"blue","NLA12_ME-107",NA,3.94777280999669,"NLA06608-0914",10,1,214,103.527013333333,9.37259259259259,3.22185185185185,15.5103703703704,101.138566666667,12.3694444444444,6.13287037037037,18.5796296296296,83.6901777777778,15.216049382716,8.73148148148148,21.6814814814815,85.0857666666667,17.2157407407407,10.9166666666667,23.4861111111111,91.4061333333333,18.0703703703704,11.9777777777778,24.1111111111111,92.2712710372178,12.0921875,79027.8064252944,1.33290936872378,4
"846","NLA06608-0918","NLA06608-0918-2007-1",1,14,8,2007,45.63536489,-70.35478251,"ME","region_1","NAP",1,1030001,"natural",2.828829075,10.73531477,378.84,22.5,1.80055543706867,68.10333034,2.87,0,105.0268376,79.6,0,2.384,23,244,4,0.581,6.29,30.88,0.623,"brown","NLA12_ME-102",NA,37.1273183410702,"NLA06608-0918",22,1,226,103.527013333333,11.0481481481481,4.83962962962963,17.2392592592593,95.1949666666667,13.8416666666667,7.47175925925926,20.1907407407407,86.8736444444444,16.1271604938272,9.67962962962963,22.5555555555556,90.6229666666667,17.4824074074074,11.1722222222222,23.7638888888889,97.2989333333333,17.8259259259259,11.5111111111111,24.1111111111111,59.7987530305387,10.725533572641,1283474.16808972,5.49816772370088,16.5
"865","NLA06608-0938","NLA06608-0938-2007-1",1,7,8,2007,43.23106073,-86.2884379,"MI","region_5","UMW",4,4060102,"natural",18.99633474,49.51062963,176.65,19,3.2044877107867,3.743461174,1.46,0,6967.619939,38.6,18.2,11.888,22,519,34,17.63,5.61,387.7,5.41,"murky","NLA12_MI-105",NA,366.78759531061,"NLA06608-0938",17.8,1,219,65.43548,13.2562962962963,6.57592592592593,19.9066666666667,64.9224,15.8898148148148,8.98657407407407,22.7694444444444,62.9158,18.4827160493827,11.3987654320988,25.5425925925926,63.8175,19.8685185185185,12.9018518518519,26.7861111111111,64.0842,20.1037037037037,13.3444444444444,26.8203703703704,34.0479964679856,13.2664913598798,1876420.17193827,1.8332869084203,5.5
