"SITEID_07"	"VISIT_NO"	"DAY"	"MONTH"	"YEAR"	"LAT"	"LON"	"STATE"	"EPA_REG"	"ECO9"	"HUC2"	"HUC8"	"LAKE_ORIGIN"	"AREA_KM2"	"PERIM_KM"	"ELEVATION_M"	"DEPTHMAX_M"	"SLD"	"WGT"
"21"	"NLA06608-0013"	2	14	9	2007	39.97428032	-74.56255123	"NJ"	"Region_2"	"CPL"	"2"	"2040202"	"MAN-MADE"	0.371402558	8.284688178	15.44	2.3	3.834853608	147.9090567
"22"	"NLA06608-0014"	1	6	8	2007	47.83492738	-100.5756807	"ND"	"Region_8"	"TPL"	"9"	"9010003"	"NATURAL"	0.128095286	1.383813932	498.4	1.7	1.09070221	324.9301387
"23"	"NLA06608-0014"	2	23	8	2007	47.83492738	-100.5756807	"ND"	"Region_8"	"TPL"	"9"	"9010003"	"NATURAL"	0.128095286	1.383813932	498.4	1.7	1.09070221	324.9301387
"24"	"NLA06608-0015"	1	10	7	2007	33.0071076	-107.2747938	"NM"	"Region_6"	"XER"	"13"	"13030101"	"MAN-MADE"	1.739929805	50.15536722	1275.36	7	10.72621798	6.92095662
"25"	"NLA06608-0015"	2	29	8	2007	33.0071076	-107.2747938	"NM"	"Region_6"	"XER"	"13"	"13030101"	"MAN-MADE"	1.739929805	50.15536722	1275.36	5.9	10.72621798	6.92095662
"26"	"NLA06608-0016"	1	27	6	2007	41.03025217	-100.7797567	"NE"	"Region_7"	"SPL"	"10"	"10190018"	"MAN-MADE"	6.410233086	18.96803762	916	6.3	2.113394436	4.160811284
"27"	"NLA06608-0016"	2	11	7	2007	41.03025217	-100.7797567	"NE"	"Region_7"	"SPL"	"10"	"10190018"	"MAN-MADE"	6.410233086	18.96803762	916	6.8	2.113394436	4.160811284
"28"	"NLA06608-0019"	1	11	6	2007	46.36688788	-99.51185877	"ND"	"Region_8"	"NPL"	"10"	"10130104"	"NATURAL"	1.033135279	7.965656888	600.25	1.2	2.210742028	21.96428238
"29"	"NLA06608-0019"	2	7	8	2007	46.36688788	-99.51185877	"ND"	"Region_8"	"NPL"	"10"	"10130104"	"NATURAL"	1.033135279	7.965656888	600.25	1	2.210742028	21.96428238
"30"	"NLA06608-0020"	1	11	6	2007	39.40817838	-87.81380832	"IL"	"Region_5"	"TPL"	"5"	"5120111"	"MAN-MADE"	2.962001459	36.78983872	184.92	14.9	6.030180581	20.33534178
"31"	"NLA06608-0020"	2	2	7	2007	39.40817838	-87.81380832	"IL"	"Region_5"	"TPL"	"5"	"5120111"	"MAN-MADE"	2.962001459	36.78983872	184.92	13.7	6.030180581	20.33534178
"32"	"NLA06608-0021"	1	27	7	2007	42.77191973	-77.3095481	"NY"	"Region_2"	"NAP"	"4"	"4140201"	"NATURAL"	42.26925272	56.14938354	209.55	53	2.436283229	8.418311244
"33"	"NLA06608-0021"	2	30	8	2007	42.77191973	-77.3095481	"NY"	"Region_2"	"NAP"	"4"	"4140201"	"NATURAL"	42.26925272	56.14938354	209.55	46.3	2.436283229	8.418311244
"34"	"NLA06608-0023"	1	9	8	2007	31.14849172	-97.745332	"TX"	"Region_6"	"SPL"	"12"	"12070202"	"MAN-MADE"	0.062072217	0.974665509	265.85	3	1.103575465	210.5049403
"35"	"NLA06608-0023"	2	19	9	2007	31.14849172	-97.745332	"TX"	"Region_6"	"SPL"	"12"	"12070202"	"MAN-MADE"	0.062072217	0.974665509	265.85	2.8	1.103575465	210.5049403
"36"	"NLA06608-0024"	1	11	7	2007	32.1220497	-95.48843409	"TX"	"Region_6"	"CPL"	"12"	"12020001"	"MAN-MADE"	95.30145112	239.2872937	105.13	12.9	6.914566362	2.186087249
"37"	"NLA06608-0024"	2	14	8	2007	32.1220497	-95.48843409	"TX"	"Region_6"	"CPL"	"12"	"12020001"	"MAN-MADE"	95.30145112	239.2872937	105.13	10.5	6.914566362	2.186087249
"38"	"NLA06608-0025"	1	18	6	2007	35.20132137	-81.34573084	"NC"	"Region_4"	"SAP"	"3"	"3050105"	"MAN-MADE"	0.114812351	1.982772888	245.48	8	1.65072122	47.41940135
"39"	"NLA06608-0025"	2	18	7	2007	35.20132137	-81.34573084	"NC"	"Region_4"	"SAP"	"3"	"3050105"	"MAN-MADE"	0.114812351	1.982772888	245.48	6.2	1.65072122	47.41940135
"40"	"NLA06608-0029"	1	2	7	2007	38.75601051	-75.21503793	"DE"	"Region_3"	"CPL"	"2"	"2040207"	"MAN-MADE"	0.731003742	11.55985109	1.87	1.7	3.814059886	4.357499828
"41"	"NLA06608-0029"	2	11	9	2007	38.75601051	-75.21503793	"DE"	"Region_3"	"CPL"	"2"	"2040207"	"MAN-MADE"	0.731003742	11.55985109	1.87	0.8	3.814059886	4.357499828
"42"	"NLA06608-0031"	1	13	6	2007	39.77645357	-81.51745185	"OH"	"Region_5"	"SAP"	"5"	"5030201"	"MAN-MADE"	0.242495358	5.281606466	241.93	4.9	3.025585236	28.82219287
"43"	"NLA06608-0031"	2	5	9	2007	39.77645357	-81.51745185	"OH"	"Region_5"	"SAP"	"5"	"5030201"	"MAN-MADE"	0.242495358	5.281606466	241.93	4.8	3.025585236	28.82219287
"44"	"NLA06608-0033"	1	17	7	2007	47.31108363	-121.2990598	"WA"	"Region_10"	"WMT"	"17"	"17030001"	"NATURAL"	0.151644835	1.777959372	732.43	1.4	1.287962115	32.54937288
"45"	"NLA06608-0033"	2	28	8	2007	47.31108363	-121.2990598	"WA"	"Region_10"	"WMT"	"17"	"17030001"	"NATURAL"	0.151644835	1.777959372	732.43	1.8	1.287962115	32.54937288
"46"	"NLA06608-0036"	1	12	7	2007	37.47735404	-88.32737922	"IL"	"Region_5"	"TPL"	"5"	"5140203"	"MAN-MADE"	0.120276054	1.782974479	113.39	5	1.450275832	75.72375178
"47"	"NLA06608-0036"	2	16	7	2007	37.47735404	-88.32737922	"IL"	"Region_5"	"TPL"	"5"	"5140203"	"MAN-MADE"	0.120276054	1.782974479	113.39	5	1.450275832	75.72375178
"48"	"NLA06608-0037"	1	13	7	2007	41.69699293	-73.36398551	"CT"	"Region_1"	"NAP"	"1"	"1100005"	"NATURAL"	2.36955581	14.01149575	211.27	13	2.567710733	21.55717344
"49"	"NLA06608-0037"	2	5	9	2007	41.69699293	-73.36398551	"CT"	"Region_1"	"NAP"	"1"	"1100005"	"NATURAL"	2.36955581	14.01149575	211.27	12.3	2.567710733	21.55717344
"50"	"NLA06608-0038"	1	12	7	2007	44.79759122	-71.86971736	"VT"	"Region_1"	"NAP"	"1"	"1110000"	"NATURAL"	2.206478779	7.974503403	358.73	11.3	1.514428724	35.04559536
"51"	"NLA06608-0038"	2	27	8	2007	44.79759122	-71.86971736	"VT"	"Region_1"	"NAP"	"1"	"1110000"	"NATURAL"	2.206478779	7.974503403	358.73	13.6	1.514428724	35.04559536
"52"	"NLA06608-0041"	1	12	6	2007	38.22694093	-80.85405519	"WV"	"Region_3"	"SAP"	"5"	"5050005"	"MAN-MADE"	10.71509332	100.9848431	501.84	43	8.702685399	23.89950044
"53"	"NLA06608-0041"	2	11	7	2007	38.22694093	-80.85405519	"WV"	"Region_3"	"SAP"	"5"	"5050005"	"MAN-MADE"	10.71509332	100.9848431	501.84	33	8.702685399	23.89950044
"54"	"NLA06608-0042"	1	22	6	2007	44.45823517	-107.0403753	"WY"	"Region_8"	"WMT"	"10"	"10090206"	"MAN-MADE"	0.777184868	4.314419055	2626	13.6	1.380559807	9.832508096
"55"	"NLA06608-0042"	2	6	7	2007	44.45823517	-107.0403753	"WY"	"Region_8"	"WMT"	"10"	"10090206"	"MAN-MADE"	0.777184868	4.314419055	2626	13.9	1.380559807	9.832508096
"56"	"NLA06608-0043"	1	31	7	2007	41.553395	-85.44424168	"IN"	"Region_5"	"UMW"	"4"	"4050001"	"NATURAL"	0.242471918	2.957443479	273.03	16.5	1.694262888	10.83110054
"57"	"NLA06608-0043"	2	15	8	2007	41.553395	-85.44424168	"IN"	"Region_5"	"UMW"	"4"	"4050001"	"NATURAL"	0.242471918	2.957443479	273.03	16.2	1.694262888	10.83110054
"58"	"NLA06608-0044"	1	18	7	2007	42.4048448	-101.7024805	"NE"	"Region_7"	"SPL"	"10"	"10150004"	"NATURAL"	2.198023543	12.39574206	1097.9	1.6	2.358584436	4.160811284
"59"	"NLA06608-0044"	2	30	7	2007	42.4048448	-101.7024805	"NE"	"Region_7"	"SPL"	"10"	"10150004"	"NATURAL"	2.198023543	12.39574206	1097.9	1.6	2.358584436	4.160811284
"60"	"NLA06608-0045"	1	26	6	2007	37.29320486	-77.88986113	"VA"	"Region_3"	"SAP"	"2"	"2080207"	"MAN-MADE"	0.288381982	4.086368816	65.73	2.1	2.146587364	18.68349386
"61"	"NLA06608-0045"	2	2	8	2007	37.29320486	-77.88986113	"VA"	"Region_3"	"SAP"	"2"	"2080207"	"MAN-MADE"	0.288381982	4.086368816	65.73	2.5	2.146587364	18.68349386
"62"	"NLA06608-0048"	1	2	8	2007	36.7872968	-89.17572548	"MO"	"Region_7"	"CPL"	"8"	"8020201"	"NATURAL"	0.056179483	1.079810471	92.55	3	1.285149741	200.6912525
"63"	"NLA06608-0048"	2	18	9	2007	36.7872968	-89.17572548	"MO"	"Region_7"	"CPL"	"8"	"8020201"	"NATURAL"	0.056179483	1.079810471	92.55	3.1	1.285149741	200.6912525
"64"	"NLA06608-0049"	1	15	8	2007	45.06232667	-117.1533553	"OR"	"Region_10"	"WMT"	"17"	"17050201"	"MAN-MADE"	0.128905475	1.95649328	2107.88	3.7	1.537226093	16.39814678
"65"	"NLA06608-0050"	1	2	7	2007	43.44601793	-71.80868659	"NH"	"Region_1"	"NAP"	"1"	"1070003"	"NATURAL"	0.119790709	1.372465095	196.17	4.9	1.118625739	83.28595282
"66"	"NLA06608-0050"	2	30	8	2007	43.44601793	-71.80868659	"NH"	"Region_1"	"NAP"	"1"	"1070003"	"NATURAL"	0.119790709	1.372465095	196.17	5	1.118625739	83.28595282
"67"	"NLA06608-0053"	1	23	8	2007	43.55819295	-73.43960723	"NY"	"Region_2"	"NAP"	"2"	"2010001"	"NATURAL"	4.709098	23.455266	28.85	5.3	3.049064182	8.418311244
"68"	"NLA06608-0053"	2	27	9	2007	43.55819295	-73.43960723	"NY"	"Region_2"	"NAP"	"2"	"2010001"	"NATURAL"	4.709098	23.455266	28.85	5.9	3.049064182	8.418311244
"69"	"NLA06608-0057"	1	16	6	2007	34.96189211	-80.51686138	"NC"	"Region_4"	"SAP"	"3"	"3040105"	"MAN-MADE"	0.530283936	9.688983502	149.57	3.7	3.753349865	11.56487147
"70"	"NLA06608-0057"	2	14	7	2007	34.96189211	-80.51686138	"NC"	"Region_4"	"SAP"	"3"	"3040105"	"MAN-MADE"	0.530283936	9.688983502	149.57	2.7	3.753349865	11.56487147
"71"	"NLA06608-0061"	1	12	6	2007	34.24558153	-113.5793644	"AZ"	"Region_9"	"XER"	"15"	"15030204"	"MAN-MADE"	5.723287327	23.93314962	335	15.3	2.822098378	1.201463105
"72"	"NLA06608-0061"	2	22	8	2007	34.24558153	-113.5793644	"AZ"	"Region_9"	"XER"	"15"	"15030204"	"MAN-MADE"	5.723287327	23.93314962	335	14.9	2.822098378	1.201463105
"73"	"NLA06608-0062"	1	9	8	2007	47.32067994	-99.74629427	"ND"	"Region_8"	"NPL"	"10"	"10130103"	"NATURAL"	0.542985616	2.944960258	562.29	2.7	1.127406005	19.94722145
"74"	"NLA06608-0062"	2	27	8	2007	47.32067994	-99.74629427	"ND"	"Region_8"	"NPL"	"10"	"10130103"	"NATURAL"	0.542985616	2.944960258	562.29	2.8	1.127406005	19.94722145
"75"	"NLA06608-0064"	1	18	6	2007	48.8940613	-112.1680165	"MT"	"Region_8"	"NPL"	"10"	"10050002"	"NATURAL"	0.252077914	2.061268745	1208	2.5	1.158143269	5.441933591
"76"	"NLA06608-0064"	2	26	8	2007	48.8940613	-112.1680165	"MT"	"Region_8"	"NPL"	"10"	"10050002"	"NATURAL"	0.252077914	2.061268745	1208	1.7	1.158143269	5.441933591
"77"	"NLA06608-0065"	1	17	7	2007	48.96243381	-115.116608	"MT"	"Region_8"	"WMT"	"17"	"17010101"	"NATURAL"	0.895225888	7.365625253	766.43	17.1	2.196030517	7.59453197
"78"	"NLA06608-0065"	2	12	9	2007	48.96243381	-115.116608	"MT"	"Region_8"	"WMT"	"17"	"17010101"	"NATURAL"	0.895225888	7.365625253	766.43	15.3	2.196030517	7.59453197
"79"	"NLA06608-0066"	1	12	6	2007	39.76851425	-79.38081778	"PA"	"Region_3"	"SAP"	"5"	"5020006"	"MAN-MADE"	10.94588775	59.92548558	439.26	20.5	5.109532133	8.935850053
"80"	"NLA06608-0066"	2	18	9	2007	39.76851425	-79.38081778	"PA"	"Region_3"	"SAP"	"5"	"5020006"	"MAN-MADE"	10.94588775	59.92548558	439.26	17.5	5.109532133	8.935850053
"81"	"NLA06608-0068"	1	9	7	2007	37.82447614	-107.8853911	"CO"	"Region_8"	"WMT"	"14"	"14030003"	"MAN-MADE"	0.500989694	3.228855235	2959.6	18.6	1.286853909	9.171940265
"82"	"NLA06608-0068"	2	12	9	2007	37.82447614	-107.8853911	"CO"	"Region_8"	"WMT"	"14"	"14030003"	"MAN-MADE"	0.500989694	3.228855235	2959.6	17.7	1.286853909	9.171940265
"83"	"NLA06608-0069"	1	18	7	2007	28.63735951	-81.13759704	"FL"	"Region_4"	"CPL"	"3"	"3080101"	"NATURAL"	0.244704468	2.398919112	11.26	3.4	1.368011421	2.082890779
"84"	"NLA06608-0069"	2	26	9	2007	28.63735951	-81.13759704	"FL"	"Region_4"	"CPL"	"3"	"3080101"	"NATURAL"	0.244704468	2.398919112	11.26	3.6	1.368011421	2.082890779
"85"	"NLA06608-0071"	1	6	9	2007	31.66683993	-91.50916933	"LA"	"Region_6"	"CPL"	"8"	"8060100"	"NATURAL"	4.602095294	30.10842622	15.17	5.3	3.959180663	1.855043389
"86"	"NLA06608-0071"	2	8	9	2007	31.66683993	-91.50916933	"LA"	"Region_6"	"CPL"	"8"	"8060100"	"NATURAL"	4.602095294	30.10842622	15.17	5.2	3.959180663	1.855043389
"87"	"NLA06608-0072"	1	26	7	2007	32.23766222	-98.40515204	"TX"	"Region_6"	"SPL"	"12"	"12070201"	"MAN-MADE"	0.091270764	1.325295227	429.56	5.7	1.237490457	210.5049403
"88"	"NLA06608-0072"	2	15	8	2007	32.23766222	-98.40515204	"TX"	"Region_6"	"SPL"	"12"	"12070201"	"MAN-MADE"	0.091270764	1.325295227	429.56	5.6	1.237490457	210.5049403
"89"	"NLA06608-0073"	1	12	6	2007	39.52477029	-118.878391	"NV"	"Region_9"	"XER"	"16"	"16050203"	"MAN-MADE"	1.522446927	4.905570351	1216.87	28	1.121536715	1.036696107
"90"	"NLA06608-0073"	2	18	7	2007	39.52477029	-118.878391	"NV"	"Region_9"	"XER"	"16"	"16050203"	"MAN-MADE"	1.522446927	4.905570351	1216.87	27	1.121536715	1.036696107
"91"	"NLA06608-0076"	1	27	7	2007	39.41441295	-94.49793062	"MO"	"Region_7"	"TPL"	"10"	"10240012"	"MAN-MADE"	30.08068118	176.162583	264.36	9.2	9.06076578	5.825117208
"92"	"NLA06608-0076"	2	4	9	2007	39.41441295	-94.49793062	"MO"	"Region_7"	"TPL"	"10"	"10240012"	"MAN-MADE"	30.08068118	176.162583	264.36	11.8	9.06076578	5.825117208
"93"	"NLA06608-0077"	1	8	9	2007	40.92704692	-74.53388264	"NJ"	"Region_2"	"NAP"	"2"	"2030103"	"MAN-MADE"	0.653283422	5.103487234	238.18	2.4	1.78119424	47.79674006
"94"	"NLA06608-0077"	2	13	9	2007	40.92704692	-74.53388264	"NJ"	"Region_2"	"NAP"	"2"	"2030103"	"MAN-MADE"	0.653283422	5.103487234	238.18	2.5	1.78119424	47.79674006
"95"	"NLA06608-0078"	1	8	8	2007	48.17781123	-100.2942095	"ND"	"Region_8"	"TPL"	"9"	"9020202"	"NATURAL"	0.150711676	1.495276968	456.67	1.1	1.086533851	324.9301387
"96"	"NLA06608-0078"	2	21	8	2007	48.17781123	-100.2942095	"ND"	"Region_8"	"TPL"	"9"	"9020202"	"NATURAL"	0.150711676	1.495276968	456.67	1	1.086533851	324.9301387
"97"	"NLA06608-0079"	1	12	7	2007	39.98585506	-107.2317809	"CO"	"Region_8"	"WMT"	"14"	"14050005"	"NATURAL"	1.309081557	6.588221013	2934	47.8	1.624350983	10.0994059
"98"	"NLA06608-0079"	2	16	8	2007	39.98585506	-107.2317809	"CO"	"Region_8"	"WMT"	"14"	"14050005"	"NATURAL"	1.309081557	6.588221013	2934	48.8	1.624350983	10.0994059
"99"	"NLA06608-0080"	1	9	9	2007	34.1200351	-91.56105203	"AR"	"Region_6"	"CPL"	"8"	"8020402"	"NATURAL"	0.797977042	6.378654064	51.5	3	2.014322107	31.37309035
"100"	"NLA06608-0080"	2	10	9	2007	34.1200351	-91.56105203	"AR"	"Region_6"	"CPL"	"8"	"8020402"	"NATURAL"	0.797977042	6.378654064	51.5	3.3	2.014322107	31.37309035
"101"	"NLA06608-0081"	1	3	7	2007	48.22612028	-122.1241675	"WA"	"Region_10"	"WMT"	"17"	"17110008"	"NATURAL"	0.100070393	1.610517764	42.78	8.5	1.436176396	32.54937288
"102"	"NLA06608-0081"	2	19	9	2007	48.22612028	-122.1241675	"WA"	"Region_10"	"WMT"	"17"	"17110008"	"NATURAL"	0.100070393	1.610517764	42.78	8	1.436176396	32.54937288
"103"	"NLA06608-0083"	1	13	6	2007	45.95096444	-99.13645049	"ND"	"Region_8"	"NPL"	"10"	"10130106"	"NATURAL"	0.483331063	4.992884041	590.81	2	2.025928873	54.02043965
"104"	"NLA06608-0083"	2	9	8	2007	45.95096444	-99.13645049	"ND"	"Region_8"	"NPL"	"10"	"10130106"	"NATURAL"	0.483331063	4.992884041	590.81	1.8	2.025928873	54.02043965
"105"	"NLA06608-0085"	1	10	7	2007	43.46045448	-116.1414317	"ID"	"Region_10"	"XER"	"17"	"17050114"	"MAN-MADE"	0.334234477	2.786710231	973.07	1.6	1.359756856	9.206236461
"106"	"NLA06608-0085"	2	20	8	2007	43.46045448	-116.1414317	"ID"	"Region_10"	"XER"	"17"	"17050114"	"MAN-MADE"	0.334234477	2.786710231	973.07	2.4	1.359756856	9.206236461
"107"	"NLA06608-0086"	1	2	8	2007	45.61657075	-122.4260347	"WA"	"Region_10"	"WMT"	"17"	"17080001"	"NATURAL"	1.013087296	8.99529581	55.6	14.2	2.521082646	8.741017273
"108"	"NLA06608-0086"	2	20	9	2007	45.61657075	-122.4260347	"WA"	"Region_10"	"WMT"	"17"	"17080001"	"NATURAL"	1.013087296	8.99529581	55.6	16	2.521082646	8.741017273
"109"	"NLA06608-0089"	1	17	6	2007	35.7733743	-81.54174586	"NC"	"Region_4"	"SAP"	"3"	"3050101"	"MAN-MADE"	8.792648891	86.85557092	301.83	15	8.262907323	5.939198937
"110"	"NLA06608-0089"	2	17	7	2007	35.7733743	-81.54174586	"NC"	"Region_4"	"SAP"	"3"	"3050101"	"MAN-MADE"	8.792648891	86.85557092	301.83	9.1	8.262907323	5.939198937
"111"	"NLA06608-0090"	1	26	6	2007	42.93075473	-109.6534609	"WY"	"Region_8"	"WMT"	"14"	"14040102"	"NATURAL"	0.085285109	1.385546689	2812	7.8	1.338380586	299.2804077
"112"	"NLA06608-0090"	2	25	7	2007	42.93075473	-109.6534609	"WY"	"Region_8"	"WMT"	"14"	"14040102"	"NATURAL"	0.085285109	1.385546689	2812	6.7	1.338380586	299.2804077
"113"	"NLA06608-0091"	1	10	7	2007	41.36944118	-87.43213825	"IN"	"Region_5"	"TPL"	"7"	"7120001"	"NATURAL"	3.055679078	9.227932592	211.77	3.7	1.489174569	7.382779885
"114"	"NLA06608-0091"	2	13	8	2007	41.36944118	-87.43213825	"IN"	"Region_5"	"TPL"	"7"	"7120001"	"NATURAL"	3.055679078	9.227932592	211.77	3.7	1.489174569	7.382779885
"115"	"NLA06608-0099"	1	3	7	2007	43.09951588	-88.45255303	"WI"	"Region_5"	"TPL"	"7"	"7090001"	"NATURAL"	3.147521338	11.02083828	262.37	18.8	1.75236817	7.527925891
"116"	"NLA06608-0099"	2	5	9	2007	43.09951588	-88.45255303	"WI"	"Region_5"	"TPL"	"7"	"7090001"	"NATURAL"	3.147521338	11.02083828	262.37	19.5	1.75236817	7.527925891
"117"	"NLA06608-0101"	1	21	8	2007	42.02167966	-73.48227989	"CT"	"Region_1"	"NAP"	"1"	"1100005"	"NATURAL"	0.614148982	4.569671237	532.8	10.1	1.644913844	19.57749882
"118"	"NLA06608-0102"	1	3	8	2007	44.50713663	-70.72328312	"ME"	"Region_1"	"NAP"	"1"	"1040002"	"NATURAL"	0.515524684	3.989089402	330.37	36.3	1.567271028	61.84915074
"119"	"NLA06608-0104"	1	22	6	2007	37.65529355	-98.26265148	"KS"	"Region_7"	"SPL"	"11"	"11030015"	"MAN-MADE"	0.567937505	4.717544883	479.33	1.9	1.765878561	3.717455758
"120"	"NLA06608-0104"	2	24	7	2007	37.65529355	-98.26265148	"KS"	"Region_7"	"SPL"	"11"	"11030015"	"MAN-MADE"	0.567937505	4.717544883	479.33	1.8	1.765878561	3.717455758
"121"	"NLA06608-0105"	1	5	7	2007	38.2350209	-112.2015025	"UT"	"Region_8"	"WMT"	"16"	"16030001"	"MAN-MADE"	9.065113613	30.36851324	1820	6	2.845325609	2.500256737
"122"	"NLA06608-0105"	2	12	9	2007	38.2350209	-112.2015025	"UT"	"Region_8"	"WMT"	"16"	"16030001"	"MAN-MADE"	9.065113613	30.36851324	1820	2.2	2.845325609	2.500256737
"123"	"NLA06608-0107"	1	25	6	2007	41.65016117	-85.08175821	"IN"	"Region_5"	"UMW"	"4"	"4050001"	"NATURAL"	0.124208037	1.435689522	300.77	4	1.14916066	16.39880261
"124"	"NLA06608-0110"	1	31	7	2007	46.86973364	-95.72856324	"MN"	"Region_5"	"UMW"	"9"	"9020103"	"NATURAL"	1.390508291	10.50970305	437.86	12.4	2.514193631	116.1182748
"125"	"NLA06608-0111"	1	1	8	2007	41.13540548	-81.13692241	"OH"	"Region_5"	"NAP"	"5"	"5030103"	"MAN-MADE"	10.64647066	64.75594294	286.66	12.8	5.598502401	20.27708552
"126"	"NLA06608-0112"	1	9	7	2007	39.01266111	-89.14408234	"IL"	"Region_5"	"TPL"	"7"	"7140202"	"MAN-MADE"	2.763794065	30.39769287	160.22	9	5.158017968	4.706553114
"127"	"NLA06608-0113"	1	16	7	2007	44.71864202	-72.23412171	"VT"	"Region_1"	"NAP"	"1"	"1110000"	"NATURAL"	0.833522645	4.253680284	396.91	13.1	1.314320285	31.82722929
"128"	"NLA06608-0115"	1	18	7	2007	44.32355428	-89.19099056	"WI"	"Region_5"	"UMW"	"4"	"4030202"	"NATURAL"	0.067371558	0.987715321	271.25	17	1.073466669	724.8867084
"129"	"NLA06608-0116"	1	28	6	2007	35.66653924	-106.3013899	"NM"	"Region_6"	"WMT"	"13"	"13020201"	"MAN-MADE"	4.062048459	34.23927252	1625.22	25.8	4.792333649	7.461529622
